"","mRS0","mRS1","mRS2","mRS3","mRS4","mRS5","mRS6","var","t"
"51",0.00197332206950885,0.00233733293669981,0.000672991598875789,0.000151481687796901,9.66671557827247e-06,3.67633611845476e-08,0.994855168228179,"no_ivt",25
"52",0.00122361655430673,0.00144933222937302,0.000386626294551215,5.5947029167116e-05,2.61535534559037e-06,8.67773579931485e-10,0.996881861669483,"no_ivt",26
"53",0.108035236176,0.176165565296,0.18043585946112,0.15386159658016,0.15084609819648,0.0512246003016,0.17943104398864,"mt",1
"54",0.104811238718794,0.170908416289205,0.174405125920806,0.146239620392276,0.142203096967257,0.0472959717680006,0.214136529943662,"mt",2
"55",0.101302487134533,0.165186938480636,0.16786596483769,0.138112851546025,0.133062910591158,0.0432268372744139,0.251242010135545,"mt",3
"56",0.097473139763365,0.158942687361883,0.160758980967265,0.129446289787069,0.123405450909092,0.0390273986275182,0.290946052583808,"mt",4
"57",0.093380491376154,0.152269089541296,0.153199138490901,0.120423991647431,0.113457009399405,0.0348160401904664,0.332454239354347,"mt",5
"58",0.0888784263635218,0.144927884430608,0.144926768451452,0.110786218186728,0.102954618762339,0.0305021597378947,0.377023924067457,"mt",6
"59",0.0840782565819409,0.137100580552534,0.136160255612762,0.100853821244825,0.0922786497274598,0.0262684219547884,0.42326001432569,"mt",7
"60",0.07894229205347,0.128725719474577,0.126844744278234,0.0906270447698734,0.0814558212016903,0.0221445475979821,0.471259830624173,"mt",8
"61",0.0736163577997164,0.120041087943682,0.11726008742329,0.0804773735179821,0.0709044373099889,0.0183049474052154,0.519395708600125,"mt",9
"62",0.0680420406879015,0.110951435716308,0.107315527230961,0.0703615969870476,0.0605960200828026,0.0147427420418166,0.567990637253163,"mt",10
"63",0.0622636836044371,0.101529069661289,0.0971083035446624,0.0604425300266177,0.0507156690291938,0.0115250947533518,0.616415649380448,"mt",11
"64",0.0562879496080642,0.0917848547663029,0.0866699780217206,0.050812953930374,0.0413702272942575,0.00868237482235536,0.664391661556925,"mt",12
"65",0.0502221421550704,0.0818937633339436,0.0762092984167416,0.0417231247449552,0.032810452727628,0.00627776373447998,0.710863454887181,"mt",13
"66",0.0440770153320002,0.0718733313071355,0.0657654249014958,0.0332484989297793,0.0251023220465182,0.00430364301139427,0.755629764471677,"mt",14
"67",0.0380579256442498,0.0620584192937766,0.0557069001489484,0.0257114945617098,0.0185206875340411,0.00279325684750516,0.797151315969769,"mt",15
"68",0.0321835146640742,0.0524794248125895,0.0460764579529828,0.0191234788865009,0.0130318857544446,0.00168519702203123,0.835420040907377,"mt",16
"69",0.0266708628410999,0.0434903258940458,0.0372370291556066,0.0136859436805492,0.00874604938570409,0.000943355907143,0.869226433135851,"mt",17
"70",0.0215321739086691,0.0351110223195415,0.0292016141775772,0.0093087264585725,0.0055106461405499,0.000476240750358288,0.898859576244731,"mt",18
"71",0.0169654922726264,0.0276644513634719,0.022265156536748,0.00603146407034332,0.00326667839498557,0.000216659969596046,0.923590097392229,"mt",19
"72",0.0130064508852275,0.0212087172092449,0.016445902029627,0.00369502527295102,0.00180304879120458,8.67222090997693e-05,0.943754133602645,"mt",20
"73",0.00967728141264682,0.0157800714926944,0.01173121553094,0.00212501461876583,0.000916942528339783,2.96741919618966e-05,0.959739800224651,"mt",21
"74",0.00699867855858324,0.0114122596315637,0.00809444421155328,0.00114862092234798,0.000429640407435274,8.56522491195248e-06,0.971907791043605,"mt",22
"75",0.00486201102516644,0.00792814410410023,0.00532669994047674,0.000566510045179982,0.000177798933691442,1.84486088469246e-06,0.9811369910905,"mt",23
"76",0.00328946931407014,0.0053639094220423,0.00339712126798906,0.000262350158628033,6.73868476422048e-05,3.11363708165286e-07,0.98761945162592,"mt",24
"77",0.00212658980306294,0.00346768247166119,0.00205207274411306,0.000108393563268005,2.16479968583848e-05,2.84786600725369e-08,0.992223584942376,"mt",25
"78",0.00131865473328201,0.0021502387993157,0.00117889329158239,4.00332075373585e-05,5.85692253449111e-06,6.7221897036946e-10,0.995306322373529,"mt",26
